model,accuracy,precision,recall,f1,time_sec,time_per_sample
Logistic Regression,0.9109777015437392,0.910711576713188,0.9109777015437392,0.9106742971993145,13.475796699523926,0.0011557287049334412
Naive Bayes,0.8451972555746141,0.8467872245238633,0.8451972555746141,0.8420839901512657,13.527463674545288,0.0011601598348666628
SVM,0.9632075471698113,0.9630223693765974,0.9632075471698113,0.9629621900771731,12.18741226196289,0.0010452326125182582
PhoBERT,0.9166380789022298,0.9174802282051427,0.9166380789022298,0.9162975640102382,1668.4126126766205,0.1430885602638611
